language,neighbors,model,n,estimate,p.value,low,high
Catalan,5,fasttext,325,0.3909782623724298,2.583249503913233e-13,0.2962916150826602,0.4915360237658917
Chinese (Simplified),5,fasttext,310,0.576116342754997,8.291014144543999e-29,0.5011824966720957,0.6614012102019186
French,5,fasttext,794,0.47183212409696235,2.926487489461641e-45,0.41002150996451214,0.5351539703861915
German,5,fasttext,285,0.4864482153200225,2.458704844456627e-18,0.38456598948791054,0.598079516297078
Greek,5,fasttext,353,0.47550309272910274,2.579799891769378e-21,0.399029632125229,0.5609926957250322
Italian,5,fasttext,335,0.5694612074474628,3.449733049215913e-30,0.5069221781112335,0.6479288992488172
Japanese,5,fasttext,192,0.4681715793790678,7.515577792541891e-12,0.3533454642172634,0.6037580110708112
Korean,5,fasttext,185,0.34501065696101924,1.5142720224163377e-6,0.22453254423553992,0.47136620659766704
Polish,5,fasttext,295,0.5088262986620324,7.835043429090843e-21,0.4212337396610756,0.6019614830995805
Portuguese,5,fasttext,284,0.5298213730012123,5.913917956735282e-22,0.44582936121230965,0.6215908383563341
Russian,5,fasttext,340,0.5466313268190822,6.969356622431899e-28,0.47508980858345917,0.6256983602417799
Spanish,5,fasttext,796,0.5269219186868521,4.4910944217544414e-58,0.46876733717829,0.5850144497600691
Swedish,5,fasttext,44,0.6129123202706512,9.750251063123712e-6,0.47348185310138813,0.8346556838511008
Thai,5,fasttext,122,0.3986337430449503,5.423661472884599e-6,0.2701969499351121,0.543109223893574
Turkish,5,fasttext,272,0.49179532096175393,5.690740509273035e-18,0.39470442484093105,0.5968743721885827
Catalan,10,fasttext,325,0.4026183458320641,4.2743090137554915e-14,0.3051208592211001,0.5117489900221226
Chinese (Simplified),10,fasttext,310,0.5881536399473749,3.1037329983783246e-30,0.5082372415360761,0.6793099422022502
French,10,fasttext,794,0.47671602951679987,2.7162562616456355e-46,0.42269225019102263,0.5364781877081622
German,10,fasttext,285,0.5046863491733902,7.988391909214034e-20,0.4171702114755258,0.6094325883780283
Greek,10,fasttext,353,0.48875807284412137,1.3509105743838006e-22,0.4070416495062984,0.5770978135992808
Italian,10,fasttext,335,0.5653293440580999,1.0988030465772354e-29,0.49710037578978605,0.6450405471289771
Japanese,10,fasttext,192,0.45698349976624725,2.6873981212631262e-11,0.34973158448630126,0.5843680609791757
Korean,10,fasttext,185,0.3662620275816349,2.9403876109769234e-7,0.2437333436703169,0.4944159635317724
Polish,10,fasttext,295,0.5455153554119481,2.8426747876793763e-24,0.46537492198796127,0.6369276285968302
Portuguese,10,fasttext,284,0.543364302471419,3.244621470470471e-23,0.46730325434140685,0.6284151682808252
Russian,10,fasttext,340,0.5516788807370344,1.8058791065072111e-28,0.4735282267682277,0.6359345402015102
Spanish,10,fasttext,796,0.5388599967436908,3.791066973449307e-61,0.486132654542903,0.5987297617153224
Swedish,10,fasttext,44,0.5733013814491119,4.7494077939843784e-5,0.40072038881732785,0.8372402283580282
Thai,10,fasttext,122,0.37251159622584135,2.3865260990678873e-5,0.23568971315454068,0.5233609957933969
Turkish,10,fasttext,272,0.4921319552893612,5.36117184986555e-18,0.40252154551124997,0.5975049518389782
Catalan,25,fasttext,325,0.39695194607240963,1.0352212038070263e-13,0.3040326079992094,0.5010920133873558
Chinese (Simplified),25,fasttext,310,0.5820130373070131,1.6869275449828346e-29,0.507031848182767,0.6670082552175178
French,25,fasttext,794,0.4733818638117353,1.3821751664691214e-45,0.4204655764478752,0.5308797933903027
German,25,fasttext,285,0.49868810217215687,2.52216008101611e-19,0.39394435429331554,0.6068483584596434
Greek,25,fasttext,353,0.5125760052822259,4.829072465693279e-25,0.43757022419767866,0.5971498534032008
Italian,25,fasttext,335,0.5607939983352885,3.8469221335359963e-29,0.48700175224779374,0.6348130607622633
